age,age_group,workclass,education_level,education_years,marital_status,occupation,relationship,race,sex,capital_gain_usd,capital_loss_usd,hours_per_week,native_country,source_split,high_income
31,25-34,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,train,0
49,45-54,Private,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,test,0
47,45-54,Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,train,1
51,45-54,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,60,United-States,test,0
36,35-44,Private,HS-grad,9,Separated,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,train,0
60,55-64,Local-gov,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Female,0,0,60,United-States,train,1
48,45-54,,Some-college,10,Divorced,,Unmarried,Black,Female,0,0,30,United-States,train,0
56,55-64,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,train,1
56,55-64,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States,train,1
53,45-54,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,test,1
37,35-44,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,train,0
27,25-34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,40,South,train,0
45,45-54,,HS-grad,9,Widowed,,Unmarried,White,Female,0,0,40,Mexico,test,0
48,45-54,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,train,1
21,17-24,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,35,United-States,train,0
33,25-34,Private,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,test,0
64,55-64,,HS-grad,9,Married-civ-spouse,,Wife,White,Female,0,0,20,United-States,train,0
44,35-44,Private,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,test,0
40,35-44,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,5178,0,60,United-States,train,1
19,17-24,Private,Some-college,10,Married-AF-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,test,0
23,17-24,,Some-college,10,Never-married,,Not-in-family,White,Male,0,0,40,United-States,train,0
20,17-24,Local-gov,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,train,0
63,55-64,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,0,0,40,United-States,test,0
34,25-34,,HS-grad,9,Never-married,,Not-in-family,White,Male,0,0,40,United-States,train,0
59,55-64,Private,HS-grad,9,Separated,Sales,Unmarried,Black,Female,0,0,40,United-States,train,0
38,35-44,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,train,1
37,35-44,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,train,0
18,17-24,Private,11th,7,Never-married,Other-service,Own-child,White,Male,1055,0,20,United-States,train,0
40,35-44,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,train,1
42,35-44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,train,1
39,35-44,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,1485,38,United-States,test,1
35,35-44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,45,United-States,test,1
33,25-34,Self-emp-not-inc,12th,8,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,test,0
33,25-34,Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,train,1
42,35-44,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,train,0
49,45-54,Private,Some-college,10,Separated,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,train,1
19,17-24,,Some-college,10,Never-married,,Own-child,White,Male,0,0,45,United-States,test,0
23,17-24,Private,Some-college,10,Never-married,Handlers-cleaners,Other-relative,White,Female,0,0,18,United-States,train,0
22,17-24,Private,10th,6,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,train,0
41,35-44,Self-emp-inc,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,train,0
18,17-24,Private,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,25,United-States,train,0
38,35-44,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,24,United-States,train,1
56,55-64,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,train,1
32,25-34,Local-gov,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,train,0
21,17-24,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,42,United-States,train,0
30,25-34,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,60,United-States,test,1
43,35-44,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,train,0
46,45-54,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,test,1
30,25-34,Private,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,White,Female,0,0,40,United-States,test,0
34,25-34,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,55,United-States,train,1
43,35-44,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,train,0
49,45-54,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,test,1
36,35-44,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52,Dominican-Republic,test,0
28,25-34,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,train,0
26,25-34,Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,test,0
74,65+,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-States,test,1
73,65+,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,25,United-States,test,0
24,17-24,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,train,0
84,65+,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,train,1
32,25-34,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,48,United-States,train,0
37,35-44,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,train,0
29,25-34,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,train,0
45,45-54,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,train,0
22,17-24,Private,HS-grad,9,Separated,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,test,0
20,17-24,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,28,United-States,train,0
47,45-54,Private,1st-4th,2,Divorced,Other-service,Not-in-family,White,Female,0,0,15,United-States,test,0
45,45-54,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,32,United-States,train,0
44,35-44,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,test,1
38,35-44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,55,United-States,train,1
50,45-54,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,40,United-States,train,1
51,45-54,Self-emp-not-inc,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,99,United-States,train,0
41,35-44,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,train,1
20,17-24,,HS-grad,9,Never-married,,Other-relative,White,Female,0,0,35,United-States,train,0
53,45-54,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,test,1
58,55-64,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,25,United-States,test,1
53,45-54,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,66,United-States,train,0
35,35-44,Local-gov,HS-grad,9,Divorced,Farming-fishing,Own-child,Asian-Pac-Islander,Male,0,0,56,United-States,train,0
29,25-34,State-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Male,0,0,40,United-States,train,0
40,35-44,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,5013,0,20,United-States,train,0
38,35-44,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,train,1
26,25-34,Private,11th,7,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,test,0
20,17-24,Self-emp-not-inc,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,2258,10,United-States,train,0
51,45-54,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1902,40,United-States,test,1
54,45-54,Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,36,United-States,test,0
23,17-24,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,20,United-States,train,0
41,35-44,Private,10th,6,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,test,0
27,25-34,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,train,0
26,25-34,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,39,United-States,test,0
31,25-34,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,50,United-States,train,0
46,45-54,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,53,United-States,train,1
48,45-54,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,train,0
23,17-24,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,25,United-States,train,0
28,25-34,State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,70,United-States,test,0
42,35-44,Private,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,test,1
29,25-34,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,0,0,30,India,train,0
59,55-64,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1740,80,United-States,test,0
34,25-34,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,15,United-States,train,0
38,35-44,Private,10th,6,Widowed,Transport-moving,Unmarried,Black,Male,114,0,40,United-States,train,0
40,35-44,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,test,0
30,25-34,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,5178,0,52,United-States,train,1
25,25-34,Self-emp-not-inc,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,test,0
46,45-54,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,train,1
19,17-24,,Some-college,10,Never-married,,Not-in-family,White,Female,0,0,30,United-States,test,0
23,17-24,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,35,United-States,test,0
55,55-64,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,3103,0,55,United-States,train,1
37,35-44,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,train,1
36,35-44,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,test,0
28,25-34,Private,Bachelors,13,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,45,,train,0
65,65+,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,59,United-States,train,1
67,65+,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,5,United-States,train,0
23,17-24,Private,7th-8th,4,Never-married,Craft-repair,Not-in-family,White,Male,0,0,25,Germany,train,0
29,25-34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,55,United-States,train,1
32,25-34,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,United-States,train,1
28,25-34,Private,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,35,United-States,test,0
29,25-34,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,0,0,40,United-States,train,0
20,17-24,,Some-college,10,Never-married,,Own-child,White,Female,0,0,8,United-States,train,0
56,55-64,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,train,1
54,45-54,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,test,0
44,35-44,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,55,United-States,train,0
41,35-44,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,train,0
31,25-34,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-States,train,0
60,55-64,Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,1902,70,United-States,test,1
25,25-34,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,train,0
35,35-44,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,30,United-States,train,0
24,17-24,Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,test,0
46,45-54,Private,HS-grad,9,Divorced,Sales,Other-relative,White,Female,0,0,40,United-States,train,0
51,45-54,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,55,United-States,test,1
50,45-54,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,test,1
54,45-54,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,test,1
45,45-54,,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,train,0
27,25-34,Private,HS-grad,9,Divorced,Craft-repair,Other-relative,Other,Male,0,0,40,United-States,train,0
35,35-44,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,train,1
26,25-34,Private,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Male,14344,0,40,United-States,test,1
33,25-34,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,train,0
24,17-24,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,train,0
50,45-54,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,train,1
44,35-44,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,test,1
44,35-44,Private,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,train,1
60,55-64,Private,11th,7,Widowed,Transport-moving,Unmarried,Black,Male,0,0,40,United-States,train,0
35,35-44,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,train,0
47,45-54,Private,Bachelors,13,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,1564,51,United-States,train,1
44,35-44,Self-emp-not-inc,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,test,0
59,55-64,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1579,60,United-States,train,0
32,25-34,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,35,Mexico,test,0
37,35-44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Iran,train,0
50,45-54,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,train,0
38,35-44,Private,Masters,14,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,train,1
27,25-34,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,2258,55,United-States,test,0
32,25-34,Private,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,38,United-States,test,0
39,35-44,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,test,1
52,45-54,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,train,1
20,17-24,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,Canada,test,0
38,35-44,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2258,60,United-States,train,0
37,35-44,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,train,0
21,17-24,Private,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,0,0,40,Mexico,train,0
17,17-24,Private,12th,8,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,test,0
52,45-54,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,52,United-States,train,1
19,17-24,,Some-college,10,Never-married,,Own-child,White,Male,0,0,22,United-States,train,0
59,55-64,,1st-4th,2,Married-civ-spouse,,Husband,White,Male,0,0,45,Portugal,test,0
51,45-54,Without-pay,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,test,0
59,55-64,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,train,0
21,17-24,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,30,United-States,test,0
20,17-24,Never-worked,Some-college,10,Never-married,,Own-child,Black,Male,0,0,40,United-States,train,0
35,35-44,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,train,0
34,25-34,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,6,United-States,train,0
21,17-24,,Some-college,10,Married-civ-spouse,,Wife,Black,Female,2105,0,20,United-States,train,0
19,17-24,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,12,United-States,train,0
66,65+,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,10605,0,40,United-States,test,1
49,45-54,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,train,0
28,25-34,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,30,United-States,train,0
37,35-44,Private,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,train,0
32,25-34,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Black,Female,0,0,40,United-States,test,0
26,25-34,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,37,United-States,test,0
47,45-54,Private,11th,7,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,train,0
37,35-44,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,test,1
35,35-44,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,test,0
19,17-24,Private,9th,5,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,test,0
20,17-24,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,25,United-States,train,0
43,35-44,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,55,United-States,train,1
43,35-44,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,test,0
33,25-34,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,train,0
42,35-44,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,train,0
45,45-54,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,Canada,train,0
42,35-44,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52,United-States,test,0
32,25-34,Private,10th,6,Never-married,Craft-repair,Not-in-family,Black,Female,0,0,50,United-States,test,0
21,17-24,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,35,United-States,train,0
76,65+,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,33,United-States,train,0
25,25-34,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,train,1
36,35-44,Private,Bachelors,13,Never-married,Sales,Not-in-family,Black,Male,0,0,48,United-States,train,0
30,25-34,Private,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,19,United-States,train,0
58,55-64,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,37,United-States,train,0
31,25-34,Private,10th,6,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,train,0
33,25-34,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Canada,test,0
32,25-34,Private,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,train,0
46,45-54,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,train,1
30,25-34,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,test,1
48,45-54,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,train,0
46,45-54,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,38,United-States,test,1
34,25-34,Local-gov,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,80,United-States,test,0
30,25-34,Private,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Taiwan,test,0
34,25-34,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,train,0
43,35-44,Self-emp-not-inc,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,train,0
26,25-34,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,train,0
51,45-54,Self-emp-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,test,0
32,25-34,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,train,0
51,45-54,,HS-grad,9,Never-married,,Own-child,White,Male,0,0,50,United-States,test,0
45,45-54,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,48,United-States,test,1
25,25-34,Private,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Female,0,0,45,United-States,train,0
38,35-44,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,train,0
53,45-54,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,train,1
22,17-24,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,80,United-States,train,0
44,35-44,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,train,0
40,35-44,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,test,1
60,55-64,Private,10th,6,Widowed,Tech-support,Unmarried,White,Female,0,0,40,United-States,train,0
31,25-34,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,train,0
36,35-44,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7688,0,45,United-States,train,1
38,35-44,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,65,United-States,train,1
34,25-34,Private,Masters,14,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,train,0
42,35-44,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,test,0
29,25-34,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,train,0
22,17-24,Local-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,55,United-States,train,0
25,25-34,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,84,United-States,train,0
38,35-44,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,train,0
31,25-34,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55,United-States,train,0
42,35-44,Private,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,train,0
29,25-34,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States,train,0
23,17-24,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,train,0
19,17-24,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,test,0
47,45-54,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,test,1
50,45-54,Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,7298,0,30,United-States,train,1
46,45-54,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,train,1
24,17-24,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,train,0
76,65+,,7th-8th,4,Divorced,,Not-in-family,White,Female,0,0,7,United-States,test,0
29,25-34,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,0,0,26,United-States,test,0
57,55-64,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,train,0
47,45-54,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,test,0
23,17-24,State-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,United-States,train,0
20,17-24,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,train,0
40,35-44,Self-emp-not-inc,Bachelors,13,Married-AF-spouse,Prof-specialty,Husband,White,Male,7298,0,50,United-States,train,1
19,17-24,Private,12th,8,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,25,Thailand,train,0
37,35-44,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,40,United-States,train,1
20,17-24,Private,Assoc-voc,11,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,train,0
34,25-34,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,train,0
